Year,Production,Sales,Exports
1990,149448,99632,49816
1991,369186,276890,92296
1992,800566,600425,200141
1993,472368,314912,157456
1994,307619,230715,76904
1995,240031,160021,80010
1996,62898,41932,20966
1997,704299,469533,234766
1998,14500,10875,3625
1999,163436,122577,40859
2000,37829,28372,9457
2001,351214,234143,117071
2002,963150,722363,240787
2003,73,55,18
2004,341412,227608,113804
2005,325514,217010,108504
2006,648007,432005,216002
2007,307637,230728,76909
2008,530178,353452,176726
2009,359890,239927,119963
2010,95602,63735,31867
2011,147405,98270,49135
2012,258193,172129,86064
2013,778261,518841,259420
2014,949174,711881,237293
2015,1090858,818144,272714
2016,980907,735681,245226
2017,546036,409527,136509
2018,131839,98880,32959
2019,31952,23964,7988
2020,82901,55268,27633
